age,sex,marital,coninc,degree,happy,health
48.0,male,married,105852.0,high school,unanswered,poor
25.0,male,never married,72774.0,bachelor's,pretty happy,unanswered
42.0,male,divorced,59542.0,bachelor's,pretty happy,unanswered
24.0,male,never married,33079.0,high school,unanswered,good
24.0,female,married,72774.0,bachelor's,very happy,excellent
31.0,male,never married,72774.0,high school,unanswered,good
46.0,female,married,,bachelor's,unanswered,excellent
52.0,female,married,105852.0,associate/junior college,not too happy,excellent
42.0,male,never married,88211.0,graduate,pretty happy,good
50.0,female,divorced,33079.0,graduate,unanswered,good
32.0,female,married,28668.0,high school,unanswered,good
48.0,female,never married,48516.0,bachelor's,very happy,excellent
57.0,female,separated,14334.0,high school,unanswered,fair
62.0,male,married,4852.0,associate/junior college,pretty happy,unanswered
66.0,male,divorced,6616.0,high school,unanswered,good
34.0,male,never married,39695.0,less than high school,pretty happy,unanswered
30.0,male,never married,39695.0,bachelor's,pretty happy,good
27.0,female,divorced,1764.0,high school,unanswered,good
59.0,male,married,33079.0,high school,unanswered,good
19.0,female,married,14334.0,high school,unanswered,excellent
23.0,female,never married,12129.0,high school,not too happy,good
50.0,male,never married,14334.0,high school,pretty happy,poor
35.0,female,never married,14334.0,high school,pretty happy,good
44.0,male,never married,39695.0,associate/junior college,unanswered,excellent
78.0,male,married,33079.0,high school,unanswered,good
33.0,male,never married,5734.0,high school,pretty happy,good
21.0,male,never married,3087.0,high school,pretty happy,excellent
77.0,male,married,28668.0,high school,pretty happy,fair
70.0,female,widowed,39695.0,high school,pretty happy,fair
69.0,male,married,59542.0,graduate,pretty happy,unanswered
26.0,female,never married,24258.0,graduate,pretty happy,excellent
27.0,female,never married,3087.0,less than high school,not too happy,unanswered
24.0,female,never married,88211.0,bachelor's,very happy,good
30.0,female,married,39695.0,high school,very happy,excellent
89.0,male,married,18745.0,less than high school,very happy,poor
37.0,female,separated,39695.0,less than high school,pretty happy,unanswered
68.0,female,widowed,16539.0,associate/junior college,pretty happy,unanswered
83.0,female,widowed,12129.0,high school,pretty happy,unanswered
61.0,female,married,178266.0,graduate,very happy,unanswered
72.0,female,widowed,39695.0,high school,pretty happy,good
42.0,female,never married,39695.0,associate/junior college,pretty happy,fair
53.0,female,married,33079.0,high school,pretty happy,excellent
79.0,male,married,39695.0,high school,very happy,excellent
58.0,female,married,105852.0,graduate,pretty happy,good
36.0,female,never married,72774.0,bachelor's,unanswered,good
35.0,female,widowed,18745.0,high school,very happy,unanswered
51.0,female,separated,28668.0,high school,pretty happy,excellent
56.0,male,married,72774.0,bachelor's,unanswered,fair
43.0,male,married,28668.0,high school,unanswered,excellent
40.0,female,married,59542.0,high school,unanswered,good
82.0,female,widowed,12129.0,high school,pretty happy,good
41.0,female,never married,24258.0,associate/junior college,unanswered,good
73.0,female,divorced,9924.0,high school,unanswered,good
42.0,female,never married,48516.0,high school,unanswered,good
77.0,female,married,20950.0,high school,pretty happy,good
85.0,male,widowed,48516.0,high school,very happy,unanswered
23.0,male,never married,72774.0,associate/junior college,pretty happy,good
62.0,female,married,72774.0,graduate,unanswered,excellent
78.0,female,widowed,28668.0,associate/junior college,very happy,unanswered
21.0,female,never married,,high school,very happy,unanswered
51.0,male,married,88211.0,high school,unanswered,good
36.0,female,married,59542.0,bachelor's,pretty happy,excellent
35.0,female,never married,48516.0,high school,not too happy,unanswered
34.0,female,married,72774.0,bachelor's,very happy,good
46.0,female,married,105852.0,graduate,unanswered,excellent
68.0,male,married,16539.0,less than high school,unanswered,fair
27.0,female,never married,7939.0,high school,unanswered,fair
27.0,female,never married,28668.0,high school,pretty happy,good
79.0,male,divorced,12129.0,high school,not too happy,fair
64.0,female,married,59542.0,high school,very happy,unanswered
22.0,male,never married,,high school,unanswered,excellent
39.0,female,divorced,48516.0,high school,very happy,good
44.0,male,married,72774.0,associate/junior college,pretty happy,fair
52.0,male,married,88211.0,bachelor's,pretty happy,unanswered
25.0,female,never married,,bachelor's,pretty happy,unanswered
25.0,female,never married,16539.0,graduate,pretty happy,unanswered
33.0,female,never married,28668.0,high school,pretty happy,unanswered
42.0,male,married,14334.0,high school,not too happy,fair
52.0,female,married,39695.0,high school,pretty happy,unanswered
75.0,female,widowed,20950.0,associate/junior college,unanswered,good
32.0,female,widowed,20950.0,high school,pretty happy,unanswered
80.0,female,married,20950.0,high school,not too happy,good
25.0,male,never married,9924.0,high school,unanswered,excellent
24.0,female,never married,3087.0,high school,unanswered,excellent
49.0,male,separated,33079.0,bachelor's,pretty happy,unanswered
35.0,male,married,72774.0,associate/junior college,not too happy,good
43.0,female,married,88211.0,associate/junior college,pretty happy,unanswered
42.0,female,married,,bachelor's,pretty happy,excellent
36.0,female,married,105852.0,graduate,unanswered,good
35.0,male,married,72774.0,high school,unanswered,excellent
76.0,female,widowed,16539.0,associate/junior college,pretty happy,unanswered
32.0,male,never married,59542.0,bachelor's,unanswered,good
52.0,male,divorced,18745.0,high school,not too happy,unanswered
60.0,female,divorced,6616.0,high school,pretty happy,poor
44.0,female,separated,441.0,associate/junior college,unanswered,fair
43.0,female,separated,39695.0,high school,pretty happy,excellent
74.0,female,widowed,9924.0,high school,pretty happy,unanswered
49.0,female,never married,48516.0,graduate,very happy,excellent
62.0,male,married,59542.0,bachelor's,pretty happy,fair
28.0,male,never married,18745.0,associate/junior college,not too happy,unanswered
79.0,female,widowed,4852.0,high school,pretty happy,unanswered
42.0,male,never married,28668.0,high school,pretty happy,unanswered
34.0,female,married,24258.0,high school,pretty happy,excellent
69.0,male,married,88211.0,high school,pretty happy,fair
22.0,female,never married,39695.0,high school,pretty happy,unanswered
82.0,male,widowed,9924.0,less than high school,unanswered,good
32.0,male,never married,48516.0,high school,pretty happy,unanswered
47.0,female,separated,28668.0,high school,unanswered,good
30.0,male,never married,24258.0,high school,unanswered,good
63.0,male,married,28668.0,high school,pretty happy,good
20.0,male,never married,18745.0,high school,unanswered,fair
55.0,female,divorced,72774.0,high school,very happy,excellent
33.0,female,married,20950.0,high school,unanswered,excellent
72.0,male,married,,high school,unanswered,good
41.0,female,married,59542.0,bachelor's,unanswered,good
60.0,male,divorced,48516.0,bachelor's,pretty happy,unanswered
53.0,male,divorced,24258.0,high school,unanswered,good
27.0,male,never married,48516.0,high school,pretty happy,good
69.0,female,married,59542.0,high school,pretty happy,good
80.0,female,widowed,9924.0,high school,not too happy,fair
77.0,female,widowed,33079.0,graduate,unanswered,good
85.0,female,widowed,12129.0,less than high school,pretty happy,good
77.0,female,widowed,9924.0,associate/junior college,pretty happy,fair
50.0,male,divorced,39695.0,high school,unanswered,good
24.0,male,married,59542.0,bachelor's,very happy,good
18.0,female,never married,39695.0,less than high school,pretty happy,unanswered
31.0,female,never married,59542.0,high school,unanswered,good
81.0,female,widowed,7939.0,less than high school,unanswered,fair
86.0,female,widowed,33079.0,high school,pretty happy,unanswered
41.0,female,married,88211.0,high school,not too happy,good
78.0,female,widowed,9924.0,high school,very happy,fair
67.0,male,widowed,28668.0,high school,unanswered,good
56.0,female,married,72774.0,associate/junior college,unanswered,good
60.0,male,married,123496.0,bachelor's,pretty happy,unanswered
75.0,male,widowed,14334.0,less than high school,very happy,excellent
45.0,male,married,48516.0,high school,unanswered,good
67.0,female,married,33079.0,high school,very happy,good
70.0,male,married,,high school,unanswered,fair
62.0,female,married,28668.0,high school,very happy,unanswered
84.0,male,married,24258.0,less than high school,pretty happy,fair
39.0,female,married,72774.0,graduate,very happy,unanswered
45.0,male,married,72774.0,high school,unanswered,excellent
57.0,female,married,59542.0,high school,unanswered,excellent
63.0,female,married,,graduate,unanswered,good
66.0,female,divorced,28668.0,high school,very happy,unanswered
78.0,female,widowed,,less than high school,unanswered,excellent
28.0,male,married,48516.0,associate/junior college,pretty happy,good
50.0,male,never married,1764.0,high school,pretty happy,unanswered
55.0,female,divorced,20950.0,less than high school,unanswered,fair
27.0,male,never married,,bachelor's,unanswered,excellent
81.0,male,married,88211.0,graduate,very happy,unanswered
61.0,female,married,28668.0,bachelor's,unanswered,excellent
77.0,male,married,,high school,very happy,fair
85.0,male,married,28668.0,high school,unanswered,fair
39.0,male,divorced,88211.0,high school,pretty happy,good
30.0,female,divorced,59542.0,high school,unanswered,good
36.0,female,never married,33079.0,bachelor's,unanswered,good
50.0,male,never married,,bachelor's,unanswered,unanswered
22.0,male,divorced,14334.0,high school,unanswered,excellent
78.0,female,married,24258.0,less than high school,very happy,unanswered
84.0,male,widowed,48516.0,high school,not too happy,good
78.0,male,married,,high school,unanswered,good
25.0,female,married,72774.0,high school,very happy,unanswered
50.0,male,never married,16539.0,bachelor's,pretty happy,excellent
20.0,female,never married,,high school,pretty happy,excellent
34.0,male,never married,33079.0,less than high school,pretty happy,unanswered
46.0,male,never married,48516.0,high school,pretty happy,unanswered
72.0,female,divorced,7939.0,less than high school,very happy,unanswered
69.0,female,married,,high school,unanswered,fair
24.0,female,never married,3087.0,less than high school,not too happy,unanswered
38.0,female,separated,,associate/junior college,pretty happy,fair
65.0,male,divorced,88211.0,graduate,unanswered,good
73.0,female,widowed,,less than high school,very happy,good
54.0,male,never married,59542.0,graduate,unanswered,excellent
50.0,male,married,59542.0,high school,unanswered,excellent
42.0,female,married,,high school,very happy,good
69.0,male,divorced,123496.0,bachelor's,very happy,unanswered
26.0,female,never married,24258.0,less than high school,pretty happy,unanswered
66.0,female,divorced,20950.0,bachelor's,very happy,excellent
31.0,female,married,72774.0,bachelor's,pretty happy,good
30.0,male,never married,12129.0,high school,pretty happy,good
58.0,female,divorced,24258.0,high school,unanswered,good
41.0,male,never married,28668.0,less than high school,pretty happy,unanswered
43.0,male,never married,24258.0,high school,very happy,good
53.0,male,married,72774.0,less than high school,unanswered,excellent
31.0,male,never married,18745.0,less than high school,pretty happy,fair
51.0,female,married,88211.0,associate/junior college,pretty happy,excellent
51.0,female,married,,high school,pretty happy,unanswered
28.0,male,married,24258.0,less than high school,pretty happy,unanswered
55.0,male,married,39695.0,bachelor's,pretty happy,unanswered
54.0,male,divorced,105852.0,graduate,not too happy,good
23.0,male,divorced,20950.0,high school,pretty happy,excellent
48.0,male,never married,5734.0,high school,unanswered,fair
67.0,female,widowed,12129.0,bachelor's,very happy,unanswered
43.0,male,never married,14334.0,high school,not too happy,fair
64.0,female,never married,24258.0,associate/junior college,pretty happy,unanswered
36.0,female,divorced,18745.0,high school,not too happy,good
27.0,female,married,18745.0,less than high school,pretty happy,good
63.0,female,married,59542.0,high school,unanswered,fair
75.0,male,married,,high school,very happy,good
27.0,female,married,39695.0,high school,pretty happy,good
67.0,male,married,39695.0,bachelor's,pretty happy,unanswered
24.0,male,never married,72774.0,high school,unanswered,excellent
75.0,male,widowed,,high school,pretty happy,poor
31.0,male,married,59542.0,bachelor's,pretty happy,excellent
22.0,female,never married,24258.0,high school,pretty happy,unanswered
64.0,female,divorced,,less than high school,not too happy,unanswered
48.0,female,divorced,9924.0,high school,unanswered,good
28.0,female,married,59542.0,high school,unanswered,excellent
65.0,female,married,24258.0,high school,very happy,excellent
39.0,male,never married,,associate/junior college,pretty happy,unanswered
19.0,female,never married,72774.0,high school,pretty happy,unanswered
47.0,male,married,123496.0,bachelor's,unanswered,excellent
27.0,female,never married,,high school,unanswered,good
47.0,female,married,33079.0,high school,not too happy,fair
64.0,female,married,72774.0,high school,unanswered,good
51.0,male,married,72774.0,associate/junior college,pretty happy,excellent
29.0,female,married,,bachelor's,very happy,excellent
43.0,female,married,48516.0,bachelor's,very happy,excellent
19.0,male,never married,105852.0,high school,very happy,excellent
28.0,female,married,,associate/junior college,very happy,excellent
49.0,female,married,,high school,unanswered,excellent
42.0,female,divorced,39695.0,high school,unanswered,fair
48.0,female,married,39695.0,high school,pretty happy,excellent
65.0,female,married,20950.0,less than high school,pretty happy,poor
24.0,female,married,33079.0,high school,very happy,good
21.0,male,divorced,39695.0,high school,unanswered,good
46.0,female,married,178266.0,graduate,very happy,excellent
28.0,male,married,72774.0,associate/junior college,unanswered,good
27.0,male,married,48516.0,high school,pretty happy,good
33.0,male,married,59542.0,high school,unanswered,good
58.0,male,married,105852.0,associate/junior college,very happy,excellent
44.0,male,married,123496.0,high school,very happy,fair
47.0,female,never married,48516.0,associate/junior college,pretty happy,good
57.0,female,never married,28668.0,high school,pretty happy,excellent
40.0,female,divorced,39695.0,graduate,pretty happy,unanswered
57.0,male,married,59542.0,high school,pretty happy,fair
72.0,male,widowed,88211.0,graduate,very happy,excellent
52.0,female,married,48516.0,high school,not too happy,unanswered
33.0,female,married,88211.0,associate/junior college,very happy,fair
41.0,female,married,39695.0,high school,pretty happy,excellent
35.0,male,married,48516.0,high school,pretty happy,unanswered
58.0,male,married,105852.0,high school,unanswered,good
58.0,male,married,48516.0,high school,unanswered,good
42.0,male,married,72774.0,high school,pretty happy,excellent
52.0,female,married,88211.0,bachelor's,unanswered,excellent
57.0,male,married,72774.0,graduate,pretty happy,good
48.0,male,married,178266.0,high school,pretty happy,unanswered
79.0,female,widowed,,high school,unanswered,good
37.0,male,married,48516.0,graduate,unanswered,excellent
38.0,female,married,72774.0,high school,very happy,excellent
23.0,female,never married,14334.0,high school,unanswered,good
37.0,female,divorced,39695.0,associate/junior college,pretty happy,unanswered
79.0,male,married,39695.0,bachelor's,very happy,good
76.0,male,married,88211.0,bachelor's,unanswered,excellent
48.0,male,married,178266.0,high school,very happy,excellent
52.0,female,divorced,39695.0,graduate,pretty happy,excellent
62.0,male,married,178266.0,graduate,unanswered,excellent
75.0,male,widowed,48516.0,graduate,not too happy,excellent
58.0,male,married,48516.0,high school,pretty happy,unanswered
46.0,female,married,178266.0,graduate,very happy,unanswered
72.0,male,widowed,33079.0,less than high school,pretty happy,good
73.0,female,widowed,59542.0,high school,pretty happy,excellent
85.0,female,widowed,178266.0,graduate,unanswered,good
58.0,male,married,88211.0,high school,pretty happy,unanswered
22.0,female,never married,24258.0,high school,unanswered,excellent
43.0,female,divorced,59542.0,high school,pretty happy,unanswered
67.0,female,married,33079.0,bachelor's,very happy,unanswered
32.0,female,never married,39695.0,bachelor's,unanswered,excellent
64.0,female,married,24258.0,high school,pretty happy,good
31.0,male,divorced,39695.0,high school,unanswered,good
89.0,female,widowed,12129.0,less than high school,unanswered,good
47.0,male,never married,,high school,unanswered,excellent
26.0,female,never married,33079.0,high school,pretty happy,good
46.0,male,divorced,18745.0,less than high school,unanswered,good
76.0,female,divorced,7939.0,less than high school,unanswered,good
40.0,male,married,59542.0,high school,pretty happy,good
39.0,female,divorced,12129.0,associate/junior college,pretty happy,fair
36.0,male,married,33079.0,high school,unanswered,fair
49.0,female,widowed,18745.0,less than high school,pretty happy,unanswered
65.0,female,widowed,72774.0,high school,pretty happy,unanswered
27.0,male,divorced,9924.0,high school,not too happy,good
52.0,male,divorced,3969.0,high school,pretty happy,excellent
23.0,female,never married,14334.0,less than high school,pretty happy,good
22.0,female,never married,28668.0,high school,pretty happy,unanswered
31.0,female,never married,14334.0,graduate,unanswered,good
41.0,male,divorced,14334.0,less than high school,unanswered,good
26.0,female,never married,7939.0,less than high school,pretty happy,unanswered
44.0,male,divorced,14334.0,less than high school,pretty happy,poor
71.0,male,divorced,7939.0,high school,not too happy,unanswered
81.0,female,divorced,5734.0,less than high school,pretty happy,unanswered
60.0,female,never married,48516.0,graduate,unanswered,good
51.0,male,married,48516.0,less than high school,unanswered,fair
28.0,male,never married,12129.0,less than high school,very happy,unanswered
41.0,female,widowed,59542.0,associate/junior college,pretty happy,unanswered
29.0,male,married,,high school,pretty happy,unanswered
34.0,female,never married,88211.0,graduate,very happy,good
89.0,female,widowed,14334.0,high school,pretty happy,good
47.0,male,divorced,178266.0,high school,pretty happy,good
30.0,male,married,88211.0,graduate,pretty happy,excellent
36.0,male,married,72774.0,bachelor's,unanswered,good
27.0,male,married,48516.0,bachelor's,unanswered,excellent
24.0,male,never married,24258.0,associate/junior college,not too happy,good
31.0,male,never married,28668.0,graduate,pretty happy,good
19.0,male,never married,12129.0,high school,unanswered,excellent
22.0,female,never married,4852.0,high school,unanswered,excellent
69.0,female,married,,high school,very happy,unanswered
34.0,male,married,105852.0,bachelor's,very happy,excellent
51.0,female,married,88211.0,bachelor's,unanswered,good
46.0,female,married,178266.0,bachelor's,very happy,good
48.0,male,married,,high school,very happy,excellent
60.0,female,married,123496.0,high school,very happy,excellent
48.0,male,married,178266.0,bachelor's,unanswered,excellent
57.0,male,married,,graduate,very happy,unanswered
60.0,female,married,48516.0,high school,pretty happy,good
53.0,female,divorced,28668.0,high school,pretty happy,good
52.0,female,never married,28668.0,high school,pretty happy,unanswered
27.0,female,never married,20950.0,high school,unanswered,good
49.0,female,divorced,14334.0,high school,pretty happy,unanswered
24.0,male,married,39695.0,high school,pretty happy,excellent
37.0,female,divorced,33079.0,bachelor's,pretty happy,good
40.0,female,married,88211.0,bachelor's,unanswered,excellent
36.0,male,married,39695.0,graduate,pretty happy,unanswered
32.0,female,married,39695.0,high school,unanswered,good
44.0,female,married,105852.0,bachelor's,unanswered,good
68.0,male,divorced,72774.0,bachelor's,very happy,excellent
72.0,female,never married,24258.0,high school,unanswered,fair
34.0,female,married,48516.0,high school,unanswered,good
35.0,male,married,72774.0,bachelor's,very happy,good
31.0,female,never married,39695.0,bachelor's,very happy,excellent
47.0,female,divorced,48516.0,associate/junior college,unanswered,good
79.0,male,married,33079.0,high school,pretty happy,unanswered
35.0,female,married,48516.0,high school,very happy,excellent
51.0,female,married,39695.0,high school,pretty happy,excellent
72.0,male,married,33079.0,high school,pretty happy,good
87.0,male,married,33079.0,high school,pretty happy,unanswered
51.0,male,married,,high school,very happy,unanswered
27.0,female,married,59542.0,bachelor's,very happy,good
47.0,female,married,39695.0,high school,unanswered,good
31.0,female,married,33079.0,high school,pretty happy,fair
47.0,male,divorced,72774.0,high school,unanswered,good
36.0,male,married,39695.0,high school,unanswered,good
35.0,female,married,39695.0,high school,pretty happy,good
45.0,female,married,178266.0,bachelor's,pretty happy,good
45.0,female,divorced,105852.0,bachelor's,very happy,good
32.0,male,married,123496.0,bachelor's,pretty happy,good
45.0,male,married,178266.0,bachelor's,pretty happy,unanswered
54.0,female,married,105852.0,high school,pretty happy,excellent
50.0,female,married,123496.0,high school,pretty happy,unanswered
64.0,male,divorced,33079.0,high school,pretty happy,excellent
28.0,male,married,,high school,pretty happy,good
25.0,male,divorced,39695.0,high school,not too happy,good
36.0,female,married,88211.0,graduate,very happy,good
74.0,female,widowed,59542.0,high school,very happy,good
54.0,male,separated,39695.0,high school,pretty happy,good
69.0,male,divorced,,graduate,pretty happy,unanswered
59.0,female,married,88211.0,bachelor's,very happy,unanswered
27.0,female,never married,16539.0,high school,pretty happy,good
39.0,female,separated,72774.0,graduate,very happy,good
28.0,male,never married,39695.0,bachelor's,pretty happy,unanswered
26.0,female,married,9924.0,high school,unanswered,excellent
73.0,female,married,,high school,unanswered,fair
82.0,female,widowed,7939.0,less than high school,not too happy,good
32.0,female,married,20950.0,associate/junior college,unanswered,good
43.0,female,divorced,48516.0,high school,not too happy,unanswered
54.0,female,married,,high school,pretty happy,good
20.0,female,never married,1764.0,high school,unanswered,good
83.0,female,married,,bachelor's,not too happy,good
60.0,female,married,,high school,pretty happy,good
47.0,male,married,72774.0,high school,pretty happy,fair
47.0,male,married,48516.0,high school,pretty happy,unanswered
49.0,male,divorced,72774.0,high school,unanswered,good
47.0,male,married,105852.0,bachelor's,pretty happy,good
45.0,male,married,72774.0,bachelor's,very happy,excellent
59.0,female,married,,high school,very happy,fair
71.0,female,married,24258.0,high school,very happy,unanswered
78.0,male,married,18745.0,high school,very happy,good
75.0,male,married,16539.0,high school,very happy,excellent
33.0,male,married,59542.0,graduate,pretty happy,excellent
38.0,male,married,88211.0,graduate,very happy,excellent
37.0,male,married,59542.0,bachelor's,pretty happy,good
34.0,male,never married,28668.0,high school,pretty happy,unanswered
49.0,female,divorced,39695.0,graduate,unanswered,excellent
56.0,female,never married,33079.0,graduate,not too happy,good
32.0,male,married,28668.0,high school,pretty happy,good
72.0,male,married,16539.0,bachelor's,pretty happy,fair
30.0,male,separated,16539.0,associate/junior college,pretty happy,good
30.0,female,married,59542.0,bachelor's,pretty happy,unanswered
23.0,male,never married,14334.0,bachelor's,very happy,excellent
36.0,male,married,39695.0,high school,pretty happy,unanswered
27.0,female,married,72774.0,high school,unanswered,good
56.0,male,divorced,14334.0,high school,not too happy,fair
39.0,female,married,28668.0,less than high school,not too happy,unanswered
46.0,female,married,178266.0,associate/junior college,very happy,unanswered
55.0,male,married,39695.0,high school,pretty happy,good
30.0,male,married,39695.0,bachelor's,pretty happy,unanswered
66.0,male,married,33079.0,less than high school,pretty happy,unanswered
19.0,female,never married,,high school,pretty happy,unanswered
40.0,male,never married,48516.0,high school,unanswered,fair
40.0,female,divorced,59542.0,high school,unanswered,excellent
38.0,female,divorced,24258.0,associate/junior college,unanswered,fair
65.0,female,married,,high school,very happy,excellent
43.0,female,married,88211.0,bachelor's,pretty happy,unanswered
33.0,female,married,,bachelor's,very happy,unanswered
72.0,female,widowed,59542.0,high school,not too happy,good
22.0,male,never married,72774.0,high school,not too happy,excellent
57.0,female,married,,high school,very happy,excellent
32.0,male,married,59542.0,associate/junior college,pretty happy,excellent
55.0,female,married,16539.0,high school,pretty happy,fair
52.0,female,married,72774.0,graduate,pretty happy,good
71.0,female,widowed,33079.0,less than high school,pretty happy,good
67.0,female,married,72774.0,graduate,unanswered,excellent
57.0,female,never married,28668.0,bachelor's,pretty happy,unanswered
76.0,female,married,72774.0,high school,very happy,unanswered
30.0,female,married,39695.0,bachelor's,pretty happy,excellent
76.0,female,married,,less than high school,unanswered,poor
33.0,female,married,48516.0,bachelor's,very happy,unanswered
47.0,female,married,88211.0,high school,pretty happy,fair
65.0,female,divorced,,bachelor's,unanswered,excellent
54.0,female,never married,6616.0,high school,unanswered,poor
23.0,male,never married,14334.0,high school,pretty happy,fair
51.0,male,never married,33079.0,graduate,unanswered,excellent
23.0,female,never married,18745.0,high school,very happy,excellent
27.0,male,never married,28668.0,high school,very happy,unanswered
22.0,male,never married,1764.0,high school,not too happy,good
52.0,male,divorced,7939.0,less than high school,pretty happy,poor
61.0,female,separated,72774.0,bachelor's,pretty happy,fair
54.0,female,divorced,39695.0,associate/junior college,not too happy,poor
29.0,female,married,,high school,unanswered,excellent
28.0,male,married,48516.0,high school,pretty happy,good
30.0,female,never married,18745.0,associate/junior college,unanswered,fair
38.0,male,never married,3087.0,less than high school,not too happy,unanswered
36.0,male,never married,24258.0,high school,pretty happy,good
57.0,female,divorced,12129.0,high school,unanswered,fair
50.0,female,married,14334.0,bachelor's,unanswered,excellent
26.0,male,never married,105852.0,bachelor's,unanswered,excellent
24.0,female,never married,59542.0,bachelor's,unanswered,excellent
