age,sex,marital,income,degree,happy,health
48.0,male,married,105852,high school,unanswered,poor
25.0,male,never married,72774,bachelor's,pretty happy,unanswered
42.0,male,divorced,59542,bachelor's,pretty happy,unanswered
24.0,male,never married,33079,high school,unanswered,good
24.0,female,married,72774,bachelor's,very happy,excellent
31.0,male,never married,72774,high school,unanswered,good
46.0,female,married,,bachelor's,unanswered,excellent
52.0,female,married,105852,associate/junior college,not too happy,excellent
42.0,male,never married,88211,graduate,pretty happy,good
50.0,female,divorced,33079,graduate,unanswered,good
32.0,female,married,28668,high school,unanswered,good
48.0,female,never married,48516,bachelor's,very happy,excellent
57.0,female,separated,14334,high school,unanswered,fair
62.0,male,married,4852,associate/junior college,pretty happy,unanswered
66.0,male,divorced,6616,high school,unanswered,good
34.0,male,never married,39695,less than high school,pretty happy,unanswered
30.0,male,never married,39695,bachelor's,pretty happy,good
27.0,female,divorced,1764,high school,unanswered,good
59.0,male,married,33079,high school,unanswered,good
19.0,female,married,14334,high school,unanswered,excellent
23.0,female,never married,12129,high school,not too happy,good
50.0,male,never married,14334,high school,pretty happy,poor
35.0,female,never married,14334,high school,pretty happy,good
44.0,male,never married,39695,associate/junior college,unanswered,excellent
78.0,male,married,33079,high school,unanswered,good
33.0,male,never married,5734,high school,pretty happy,good
21.0,male,never married,3087,high school,pretty happy,excellent
77.0,male,married,28668,high school,pretty happy,fair
70.0,female,widowed,39695,high school,pretty happy,fair
69.0,male,married,59542,graduate,pretty happy,unanswered
26.0,female,never married,24258,graduate,pretty happy,excellent
27.0,female,never married,3087,less than high school,not too happy,unanswered
24.0,female,never married,88211,bachelor's,very happy,good
30.0,female,married,39695,high school,very happy,excellent
89.0,male,married,18745,less than high school,very happy,poor
37.0,female,separated,39695,less than high school,pretty happy,unanswered
68.0,female,widowed,16539,associate/junior college,pretty happy,unanswered
83.0,female,widowed,12129,high school,pretty happy,unanswered
61.0,female,married,178266,graduate,very happy,unanswered
72.0,female,widowed,39695,high school,pretty happy,good
42.0,female,never married,39695,associate/junior college,pretty happy,fair
53.0,female,married,33079,high school,pretty happy,excellent
79.0,male,married,39695,high school,very happy,excellent
58.0,female,married,105852,graduate,pretty happy,good
36.0,female,never married,72774,bachelor's,unanswered,good
35.0,female,widowed,18745,high school,very happy,unanswered
51.0,female,separated,28668,high school,pretty happy,excellent
56.0,male,married,72774,bachelor's,unanswered,fair
43.0,male,married,28668,high school,unanswered,excellent
40.0,female,married,59542,high school,unanswered,good
82.0,female,widowed,12129,high school,pretty happy,good
41.0,female,never married,24258,associate/junior college,unanswered,good
73.0,female,divorced,9924,high school,unanswered,good
42.0,female,never married,48516,high school,unanswered,good
77.0,female,married,20950,high school,pretty happy,good
85.0,male,widowed,48516,high school,very happy,unanswered
23.0,male,never married,72774,associate/junior college,pretty happy,good
62.0,female,married,72774,graduate,unanswered,excellent
78.0,female,widowed,28668,associate/junior college,very happy,unanswered
21.0,female,never married,,high school,very happy,unanswered
51.0,male,married,88211,high school,unanswered,good
36.0,female,married,59542,bachelor's,pretty happy,excellent
35.0,female,never married,48516,high school,not too happy,unanswered
34.0,female,married,72774,bachelor's,very happy,good
46.0,female,married,105852,graduate,unanswered,excellent
68.0,male,married,16539,less than high school,unanswered,fair
27.0,female,never married,7939,high school,unanswered,fair
27.0,female,never married,28668,high school,pretty happy,good
79.0,male,divorced,12129,high school,not too happy,fair
64.0,female,married,59542,high school,very happy,unanswered
22.0,male,never married,,high school,unanswered,excellent
39.0,female,divorced,48516,high school,very happy,good
44.0,male,married,72774,associate/junior college,pretty happy,fair
52.0,male,married,88211,bachelor's,pretty happy,unanswered
25.0,female,never married,,bachelor's,pretty happy,unanswered
25.0,female,never married,16539,graduate,pretty happy,unanswered
33.0,female,never married,28668,high school,pretty happy,unanswered
42.0,male,married,14334,high school,not too happy,fair
52.0,female,married,39695,high school,pretty happy,unanswered
75.0,female,widowed,20950,associate/junior college,unanswered,good
32.0,female,widowed,20950,high school,pretty happy,unanswered
80.0,female,married,20950,high school,not too happy,good
25.0,male,never married,9924,high school,unanswered,excellent
24.0,female,never married,3087,high school,unanswered,excellent
49.0,male,separated,33079,bachelor's,pretty happy,unanswered
35.0,male,married,72774,associate/junior college,not too happy,good
43.0,female,married,88211,associate/junior college,pretty happy,unanswered
42.0,female,married,,bachelor's,pretty happy,excellent
36.0,female,married,105852,graduate,unanswered,good
35.0,male,married,72774,high school,unanswered,excellent
76.0,female,widowed,16539,associate/junior college,pretty happy,unanswered
32.0,male,never married,59542,bachelor's,unanswered,good
52.0,male,divorced,18745,high school,not too happy,unanswered
60.0,female,divorced,6616,high school,pretty happy,poor
44.0,female,separated,441,associate/junior college,unanswered,fair
43.0,female,separated,39695,high school,pretty happy,excellent
74.0,female,widowed,9924,high school,pretty happy,unanswered
49.0,female,never married,48516,graduate,very happy,excellent
62.0,male,married,59542,bachelor's,pretty happy,fair
28.0,male,never married,18745,associate/junior college,not too happy,unanswered
79.0,female,widowed,4852,high school,pretty happy,unanswered
42.0,male,never married,28668,high school,pretty happy,unanswered
34.0,female,married,24258,high school,pretty happy,excellent
69.0,male,married,88211,high school,pretty happy,fair
22.0,female,never married,39695,high school,pretty happy,unanswered
82.0,male,widowed,9924,less than high school,unanswered,good
32.0,male,never married,48516,high school,pretty happy,unanswered
47.0,female,separated,28668,high school,unanswered,good
30.0,male,never married,24258,high school,unanswered,good
63.0,male,married,28668,high school,pretty happy,good
20.0,male,never married,18745,high school,unanswered,fair
55.0,female,divorced,72774,high school,very happy,excellent
33.0,female,married,20950,high school,unanswered,excellent
72.0,male,married,,high school,unanswered,good
41.0,female,married,59542,bachelor's,unanswered,good
60.0,male,divorced,48516,bachelor's,pretty happy,unanswered
53.0,male,divorced,24258,high school,unanswered,good
27.0,male,never married,48516,high school,pretty happy,good
69.0,female,married,59542,high school,pretty happy,good
80.0,female,widowed,9924,high school,not too happy,fair
77.0,female,widowed,33079,graduate,unanswered,good
85.0,female,widowed,12129,less than high school,pretty happy,good
77.0,female,widowed,9924,associate/junior college,pretty happy,fair
50.0,male,divorced,39695,high school,unanswered,good
24.0,male,married,59542,bachelor's,very happy,good
18.0,female,never married,39695,less than high school,pretty happy,unanswered
